common_name,scientific_name,start_s,end_s,confidence,label,file_index,filename,file_stem,recording_date,recording_start_time,absolute_timestamp,species,timestamp,confidence,status,geographic_valid,temporal_valid,habitat_valid,weather_score,rejection_reason,review_notes,overall_score,ebird_frequency,gbif_occurrences
Spotted Crake,Porzana porzana,342.0,345.0,0.3067994117736816,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:43:35,Spotted Crake,2025-10-13 11:43:35,0.3067994117736816,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.5613598823547363,,0
Spotted Crake,Porzana porzana,357.0,360.0,0.8060542345046997,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:43:50,Spotted Crake,2025-10-13 11:43:50,0.8060542345046997,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.6612108469009399,,0
Spotted Crake,Porzana porzana,360.0,363.0,0.707166314125061,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:43:53,Spotted Crake,2025-10-13 11:43:53,0.707166314125061,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.6414332628250122,,0
Spotted Crake,Porzana porzana,363.0,366.0,0.6309840679168701,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:43:56,Spotted Crake,2025-10-13 11:43:56,0.6309840679168701,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.626196813583374,,0
Spotted Crake,Porzana porzana,372.0,375.0,0.7631094455718994,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:44:05,Spotted Crake,2025-10-13 11:44:05,0.7631094455718994,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.6526218891143799,,0
Spotted Crake,Porzana porzana,375.0,378.0,0.6315000653266907,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:44:08,Spotted Crake,2025-10-13 11:44:08,0.6315000653266907,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.6263000130653381,,0
Spotted Crake,Porzana porzana,378.0,381.0,0.4334279000759125,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:44:11,Spotted Crake,2025-10-13 11:44:11,0.4334279000759125,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.5866855800151825,,0
Spotted Crake,Porzana porzana,381.0,384.0,0.2836472988128662,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:44:14,Spotted Crake,2025-10-13 11:44:14,0.2836472988128662,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.5567294597625733,,0
Spotted Crake,Porzana porzana,387.0,390.0,0.3621962964534759,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:44:20,Spotted Crake,2025-10-13 11:44:20,0.3621962964534759,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.5724392592906952,,0
Spotted Crake,Porzana porzana,402.0,405.0,0.5037846565246582,Porzana porzana_Spotted Crake,1,245AAA0563ED3DA7_20251013_113753.WAV,245AAA0563ED3DA7_20251013_113753,2025-10-13,11:37:53,2025-10-13 11:44:35,Spotted Crake,2025-10-13 11:44:35,0.5037846565246582,REVIEW,True,True,True,,,['eBird validation skipped (no API key); GBIF: Porzana porzana has no recorded occurrences in 50.0km radius for month 10 (last 10 years)'],0.6007569313049317,,0
